X,Y,u (1) @ t=0,u (1) @ t=0.05,u (1) @ t=0.1,u (1) @ t=0.15,u (1) @ t=0.2,u (1) @ t=0.25,u (1) @ t=0.3,u (1) @ t=0.35,u (1) @ t=0.4,u (1) @ t=0.45,u (1) @ t=0.5,u (1) @ t=0.55,u (1) @ t=0.6,u (1) @ t=0.65,u (1) @ t=0.7,u (1) @ t=0.75,u (1) @ t=0.8,u (1) @ t=0.85,u (1) @ t=0.9,u (1) @ t=0.95,u (1) @ t=1,u (1) @ t=1.05,u (1) @ t=1.1,u (1) @ t=1.15,u (1) @ t=1.2,u (1) @ t=1.25,u (1) @ t=1.3,u (1) @ t=1.35,u (1) @ t=1.4,u (1) @ t=1.45,u (1) @ t=1.5,u (1) @ t=1.55,u (1) @ t=1.6,u (1) @ t=1.65,u (1) @ t=1.7,u (1) @ t=1.75,u (1) @ t=1.8,u (1) @ t=1.85,u (1) @ t=1.9,u (1) @ t=1.95,u (1) @ t=2
0.0625,0.0625,0.707079104488366,0.3689443611046778,0.14011428645716512,0.0324241527623663,-0.011206991945671521,-0.03145661610081739,-0.041575274155566125,-0.047077864215095966,-0.05187139207366368,-0.06418855283484173,-0.11116694592784968,-0.23801659376292902,-0.4132305559510834,-0.5197361581549166,-0.5476686771399373,-0.538249603444927,-0.5164531378613838,-0.49307006925249824,-0.47021971379009436,-0.44864035287297677,-0.42867890847708673,-0.4103067957351248,-0.3933715926317037,-0.3777997808030476,-0.36361419819258756,-0.35090620204936573,-0.3397378214081475,-0.3299592266335277,-0.3212375202224476,-0.31316670614290476,-0.30549646417055853,-0.29822241427016255,-0.2914478919753212,-0.28560499549527785,-0.28093948553170184,-0.278253165388461,-0.27802654107475316,-0.2805863564029377,-0.2864008231823117,-0.2956232866911765,-0.3079176745456858
0.09375,0,0.46191621396765986,0.21626467108295558,0.08974130032092353,0.03463907082311922,0.008843956967176816,-0.006505853384612882,-0.0192023587708207,-0.04344548950953097,-0.13269501028931105,-0.3606369879626351,-0.5549045740002826,-0.6147965023468146,-0.6047967497987271,-0.5736172987723277,-0.5410812054001797,-0.5109853197024427,-0.48373835907262863,-0.45889642183344814,-0.4361414710729188,-0.41544486596322117,-0.39666414268881744,-0.37975681950957707,-0.3648510149584092,-0.3520986552712254,-0.3413030350784573,-0.331779207924639,-0.32289538693533276,-0.31429390492402226,-0.3058479029851508,-0.29800677471460624,-0.29055204445147276,-0.2846183894822271,-0.2793631089308164,-0.27672517583614725,-0.27714705200728784,-0.2814712900230338,-0.28993410581125045,-0.3022837513574,-0.3179683401836784,-0.3349962488216932,-0.3522506783890357
0.09375,0.03125,0.6532576988577161,0.35693093697307415,0.1683091864055161,0.07925458487096473,0.03787716320253751,0.014637766521028885,-6.643462394659167E-4,-0.016486839769036133,-0.05658058354126053,-0.18813976929313164,-0.41344398782596514,-0.5548703786178978,-0.5834096965497972,-0.5708075914695943,-0.5423297499606432,-0.513392597542702,-0.48656179780562925,-0.461889836927745,-0.43919875343400183,-0.41848371977522186,-0.3995765861846426,-0.3823305204955857,-0.3667125718123746,-0.3528298737476251,-0.34080841240121124,-0.33050322482137334,-0.32137570013950245,-0.31292743328919825,-0.30483144141547414,-0.29703427488026535,-0.28979607357341686,-0.28314010325705624,-0.2778847692555392,-0.27409119435744345,-0.27277661021059474,-0.2748591231917736,-0.28070618148916626,-0.29032969432909267,-0.3036215781361518,-0.31934924872772685,-0.3364823465183974
0,0.12499999999999997,0.4999857071569269,0.33057595803085776,0.13362146919685242,-0.034896024862111144,-0.1139605352797854,-0.1374396959608085,-0.14257067651039076,-0.14044939991368333,-0.13558014379002847,-0.12987472237979325,-0.12440270969044155,-0.12064377215764627,-0.12265506666575487,-0.1415947646844635,-0.197290946648466,-0.2997216584759123,-0.4022978392063024,-0.4657147938494922,-0.49152678702434216,-0.4912215960680547,-0.47810760805952873,-0.46108589240826486,-0.443949150749221,-0.4275008719671788,-0.4118606339144018,-0.3970306937774447,-0.3831273556970935,-0.3702159134637036,-0.3582948776796516,-0.347366639806725,-0.3374761895164231,-0.32871084787620336,-0.3209430298813779,-0.3137096559182833,-0.30689772458903725,-0.3006461991939449,-0.2952097734760975,-0.29078140669701974,-0.28767340025567983,-0.2863463683906268,-0.28698931496653424
0.03125,0.12499999999999997,0.6913232880511384,0.4751046630665142,0.24752047237332866,0.06563604028073157,-0.024696824047018937,-0.06001591502846253,-0.0749709124982298,-0.08082244091963275,-0.0824613925712463,-0.08233923592499684,-0.08263296332362795,-0.08825112446058608,-0.11227009499411235,-0.17995223053712237,-0.2997312302343289,-0.4181643540246111,-0.475358619883595,-0.49324627051284115,-0.4897295713681251,-0.47492305791370504,-0.4565803506714018,-0.4383336965698519,-0.4211245725328825,-0.40491956491115494,-0.3897110676115629,-0.37553692979939624,-0.3624154296661339,-0.35038605591492505,-0.3394475769641885,-0.3296088621167982,-0.32081391637292006,-0.31295675122837235,-0.3057723095461877,-0.298978951551498,-0.29274006577995343,-0.28731994923796894,-0.2830718832961681,-0.2802554164269349,-0.27928137422345384,-0.2806744237980144,-0.2845896846445041
0.0625,0.09374999999999999,0.8154706082399944,0.5150161437128858,0.24954804094431862,0.09341931754938623,0.023530050243323664,-0.008939789642464762,-0.025826717261664182,-0.035112495038248065,-0.04104503615253005,-0.04810183902482735,-0.06872952706709005,-0.1341241231453477,-0.2739350990328578,-0.42481932804348627,-0.5051291386966281,-0.5224539474664021,-0.5109744745852158,-0.49207382816760853,-0.4711819536875202,-0.4502940740839565,-0.4306091329684213,-0.41239187498383273,-0.3955198507910232,-0.3798987042522092,-0.36549937854624176,-0.3523394175003997,-0.34048616768393386,-0.3299646144138964,-0.3206783181823251,-0.31239426986321583,-0.3047724824480955,-0.2975874512987376,-0.2908559591133986,-0.2847761992764212,-0.27973696059726155,-0.2761965514209333,-0.2746962192184569,-0.27557067709514826,-0.2793180052701629,-0.28630029586749267,-0.29638529056577473
0.09375,0.0625,0.8154728390352242,0.5122065648296322,0.2657277520489964,0.1342477698743013,0.07230125721050619,0.03870952302483398,0.01819242151238943,0.0030238768032591237,-0.01760264371826099,-0.07716211503916054,-0.23508327755805153,-0.4332460289306611,-0.5363371174009455,-0.5545277708491353,-0.5393411822197194,-0.5139420583059077,-0.4883295704587084,-0.46417293073235566,-0.4417216206685849,-0.4210900913691593,-0.40219024082069704,-0.38486517914143503,-0.3689894098914123,-0.3545400809020816,-0.3415975285448538,-0.33026070023628623,-0.3204275934857855,-0.3117272915062563,-0.3037457447273994,-0.2961762817430009,-0.2889895782393486,-0.2823961683380774,-0.2765889261382861,-0.2721738507450124,-0.2696444847679782,-0.26987742282193095,-0.27341908251157415,-0.2804506653046632,-0.29115845504867555,-0.30491863753808884,-0.32093596960392085
0.125,0,0.49998569654460717,0.3119418555615899,0.18069883041662324,0.10942760273521179,0.06921520052107978,0.03943802986391295,-0.0012782130480386577,-0.12545141125067566,-0.41005397402112015,-0.5984123962367739,-0.6376479678008496,-0.610102154241133,-0.5728767608508762,-0.5383064089171806,-0.5061039287892294,-0.47715097136334617,-0.4514670895558664,-0.428119220799087,-0.4067947312099518,-0.3874876217572206,-0.37013521852615194,-0.3548304692412714,-0.3417781394573196,-0.3308673280593218,-0.3214116592280512,-0.3126441565235143,-0.3041502451908741,-0.2958772803628764,-0.2879198141831587,-0.28079988348586504,-0.2745800642238317,-0.2701359677300702,-0.26783942271062605,-0.2686985313929159,-0.274246266223576,-0.2843403566991566,-0.2986187235868587,-0.31609579343264393,-0.3350995144286607,-0.3526805141665375,-0.36806537062298894
0.125,0.03125,0.6913286739371606,0.46822683469907794,0.2761904404992867,0.16774012559737184,0.10998249304791308,0.07354156165768856,0.04275947070303515,-0.012883120905526903,-0.1819412394293071,-0.44712727528093876,-0.5786279087946665,-0.59500833715405,-0.5738078132715916,-0.5398399539255223,-0.5090203993970462,-0.48024323282030457,-0.4546995380346627,-0.4313763958663974,-0.4100286810674207,-0.3906124729916795,-0.3729601679045342,-0.3569827008943512,-0.34275131498061956,-0.3304316639375576,-0.31999020585475185,-0.3109326727698926,-0.30260496097147577,-0.2946728467034197,-0.2870388933284955,-0.27985909785159035,-0.27352603808693804,-0.26827227405627463,-0.2648784946926589,-0.2640504833940074,-0.26665333521995693,-0.27378890353192176,-0.28513933923250007,-0.30015217806028915,-0.3178180690430921,-0.3356995040001406,-0.35275692241348366
0,0.15624999999999994,0.4619295654838943,0.35844041554185097,0.246420979132179,0.07852177432459446,-0.055126840467764414,-0.1076585568746171,-0.12458524530464508,-0.1285915176334838,-0.1272362613669058,-0.12371015585316504,-0.11946214623409257,-0.11563699066031846,-0.1143418109328682,-0.12135000262433122,-0.1493763346805555,-0.21609638003073653,-0.31664433860791613,-0.40343658073120964,-0.45597572562143407,-0.4743212210082408,-0.4714393803277382,-0.45892416354030613,-0.4434624866070412,-0.42792306869287233,-0.41276533831294165,-0.3983065249123561,-0.38456214928938137,-0.37170387070370703,-0.35975480038141966,-0.3486453530184062,-0.338405708093245,-0.3291092685874406,-0.32083967561968246,-0.31344685690345414,-0.3065859122334657,-0.3002790087860968,-0.2946596849309972,-0.2898815680430486,-0.2861987330901589,-0.2840193694729825,-0.28352485056460125
