X,Y,T,U,V
0.4687499999999999,0.3749999999999998,0.0,0.4619409297868685,0.476421196531168
0.6250000000000001,0.09375,0.0,0.1913423895015829,0.1990599616560701
0.28125,0.1562499999999999,0.0,-0.6532825686357047,-0.6666291550862787
0.0,0.4374999999999995,0.0,0.8535614592137597,0.912069550853554
0.0937499999999999,0.7499999999999987,0.0,-0.3086592606701823,-0.3202351770928673
0.1874999999999999,0.2812499999999999,0.0,-0.8154937360637963,-0.8225725805832608
0.5937499999999996,0.4999999999999998,0.0,0.6913427249862185,0.7037082017198157
0.4999999999999998,0.5312499999999998,0.0,0.9619394441230388,0.958397666069052
0.28125,0.0,0.0,0.0380712215608038,0.1193970451427461
0.28125,0.0937499999999999,0.0,-0.2705988278393525,-0.281127386498149
0.3125,0.03125,0.0,0.1083885983367596,0.1159681510112955
0.6249999999999996,0.4687499999999998,0.0,0.4619409297868629,0.4764211965299525
0.6874999999999994,0.25,0.0,-0.8535537786948502,-0.8583562095977673
0.1562499999999999,0.7812499999999987,0.0,-0.6532825716917726,-0.6666283602145568
0.8124999999999989,0.6874999999999998,0.0,-0.7071077516893979,-0.7189531170860558
0.8749999999999983,0.7812499999999998,0.0,-0.4619409333390036,-0.476419285406241
0.4999999999999995,0.7812499999999992,0.0,0.038060361448492,0.0396895887252228
0.0937499999999999,0.6874999999999989,0.0,-0.1622122432981425,-0.1688677461460537
0.3124999999999999,0.4062499999999998,0.0,-0.1622122045258133,-0.1688946279535017
0.4374999999999999,0.4374999999999998,0.0,0.7071077518853608,0.7189531123752414
0.8749999999999983,0.8749999999999998,0.0,-1.5615675530155449e-12,-1.4132653386296501e-08
1.0,0.1875,0.0,0.146454770309473,0.2086504010022014
0.1874999999999999,0.2499999999999999,0.0,-0.8535537789716533,-0.8583562024951807
0.9687499999999998,0.09375,0.0,0.6532843465315105,0.6694028173406268
0.3124999999999999,0.3124999999999998,0.0,-0.7071077518852932,-0.7189531123612071
0.5937499999999997,0.3749999999999999,0.0,0.1913423346781262,0.1990975258928041
0.375,0.0625,0.0,0.353554726859863,0.3661551131080729
0.9687499999999992,0.40625,0.0,0.653280848782379,0.6638179550876107
0.4062499999999996,0.9374999999999988,0.0,0.5448966183597409,0.5595071565459871
0.46875,0.03125,0.0,0.92388135236758,0.9266402013047648
0.0,0.2187499999999999,0.0,0.0380503263123869,-0.0337389432076094
0.7187499999999994,0.25,0.0,-0.9619394441148916,-0.9583976644942616
0.21875,0.1249999999999999,0.0,-0.4619409203821962,-0.4764261902773367
0.7499999999999988,0.8749999999999996,0.0,-0.5000011761030384,-0.514743772056017
0.6874999999999993,0.5312499999999998,0.0,0.1083867353358444,0.1129539615308826
0.5937499999999997,0.3437499999999999,0.0,4.127197455692256e-14,6.749103800264891e-12
0.3124999999999999,0.6562499999999992,0.0,-0.5448962987731902,-0.5595943247888606
0.34375,0.0625,0.0,0.1622125241134493,0.168795004347649
0.968749999999998,0.9375,0.0,0.815492737881317,0.8203391472073591
0.75,0.0,0.0,1.0860158496243576e-05,0.0797239517682485
0.8125,0.03125,0.0,0.1083885984424338,0.1159681472521227
