X,Y,u (1) @ t=0,v (1) @ t=0,u (1) @ t=0.05,v (1) @ t=0.05,u (1) @ t=0.1,v (1) @ t=0.1,u (1) @ t=0.15,v (1) @ t=0.15,u (1) @ t=0.2,v (1) @ t=0.2,u (1) @ t=0.25,v (1) @ t=0.25,u (1) @ t=0.3,v (1) @ t=0.3,u (1) @ t=0.35,v (1) @ t=0.35,u (1) @ t=0.4,v (1) @ t=0.4,u (1) @ t=0.45,v (1) @ t=0.45,u (1) @ t=0.5,v (1) @ t=0.5,u (1) @ t=0.55,v (1) @ t=0.55,u (1) @ t=0.6,v (1) @ t=0.6,u (1) @ t=0.65,v (1) @ t=0.65,u (1) @ t=0.7,v (1) @ t=0.7,u (1) @ t=0.75,v (1) @ t=0.75,u (1) @ t=0.8,v (1) @ t=0.8,u (1) @ t=0.85,v (1) @ t=0.85,u (1) @ t=0.9,v (1) @ t=0.9,u (1) @ t=0.95,v (1) @ t=0.95,u (1) @ t=1,v (1) @ t=1,u (1) @ t=1.05,v (1) @ t=1.05,u (1) @ t=1.1,v (1) @ t=1.1,u (1) @ t=1.15,v (1) @ t=1.15,u (1) @ t=1.2,v (1) @ t=1.2,u (1) @ t=1.25,v (1) @ t=1.25,u (1) @ t=1.3,v (1) @ t=1.3,u (1) @ t=1.35,v (1) @ t=1.35,u (1) @ t=1.4,v (1) @ t=1.4,u (1) @ t=1.45,v (1) @ t=1.45,u (1) @ t=1.5,v (1) @ t=1.5,u (1) @ t=1.55,v (1) @ t=1.55,u (1) @ t=1.6,v (1) @ t=1.6,u (1) @ t=1.65,v (1) @ t=1.65,u (1) @ t=1.7,v (1) @ t=1.7,u (1) @ t=1.75,v (1) @ t=1.75,u (1) @ t=1.8,v (1) @ t=1.8,u (1) @ t=1.85,v (1) @ t=1.85,u (1) @ t=1.9,v (1) @ t=1.9,u (1) @ t=1.95,v (1) @ t=1.95,u (1) @ t=2,v (1) @ t=2
0,0,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001,0.4999997484626783,0.5000000000000001
0.03125,0,0.6913547603290267,0.46193976625564337,0.8112437568407934,0.46193976625564337,0.8119056766700553,0.46193976625564337,0.7395068198290422,0.46193976625564337,0.6502699824064265,0.46193976625564337,0.5666274001516958,0.46193976625564337,0.49562092016717574,0.46193976625564337,0.437749050456936,0.46193976625564337,0.39127162419009426,0.46193976625564337,0.35400667517726886,0.46193976625564337,0.3239967201449897,0.46193976625564337,0.2996582381918164,0.46193976625564337,0.2797579726115653,0.46193976625564337,0.263345129400639,0.46193976625564337,0.2496793779295658,0.46193976625564337,0.238225271006228,0.46193976625564337,0.228774728103297,0.46193976625564337,0.22052505640047856,0.46193976625564337,0.2134123411435876,0.46193976625564337,0.2073016472402605,0.46193976625564337,0.20202210992711972,0.46193976625564337,0.19742645099226924,0.46193976625564337,0.19340450530477984,0.46193976625564337,0.18986864131562264,0.46193976625564337,0.186744219824244,0.46193976625564337,0.1839796778765924,0.46193976625564337,0.1815258240488099,0.46193976625564337,0.17934194643789542,0.46193976625564337,0.17738630806659766,0.46193976625564337,0.17563301710740173,0.46193976625564337,0.17408441370359753,0.46193976625564337,0.1726988377881652,0.46193976625564337,0.1714395951111862,0.46193976625564337,0.17027142473470125,0.46193976625564337,0.16920388333391503,0.46193976625564337,0.168231326742705,0.46193976625564337,0.16734755295868545,0.46193976625564337,0.166541935517812,0.46193976625564337,0.16580682767804383,0.46193976625564337,0.16513415045870072,0.46193976625564337,0.16451682860081726,0.46193976625564337
0,0.031249999999999997,0.4619410145635958,0.6913564944311682,0.4619410145635958,0.8137245491175441,0.4619410145635958,0.814193199632102,0.4619410145635958,0.7407705193483537,0.4619410145635958,0.6507408737943278,0.4619410145635958,0.5664514884081331,0.4619410145635958,0.49491508823011787,0.4619410145635958,0.4366268835914781,0.4619410145635958,0.389831850380477,0.4619410145635958,0.35232459941438515,0.4619410145635958,0.3221266224111438,0.4619410145635958,0.2976388968661694,0.4619410145635958,0.2776175516562874,0.4619410145635958,0.26110464444070364,0.4619410145635958,0.24735491346207272,0.4619410145635958,0.23582971509711384,0.4619410145635958,0.22631983870006586,0.4619410145635958,0.21801795405157398,0.4619410145635958,0.21085983263600186,0.4619410145635958,0.20470985701137107,0.4619410145635958,0.19939619268126993,0.4619410145635958,0.1947707244110712,0.4619410145635958,0.19072263405116927,0.4619410145635958,0.1871637594727947,0.4619410145635958,0.18401899921929504,0.4619410145635958,0.18123646724401438,0.4619410145635958,0.1787666620826229,0.4619410145635958,0.1765686073434418,0.4619410145635958,0.17460029466706892,0.4619410145635958,0.17283566582413107,0.4619410145635958,0.17127707407574716,0.4619410145635958,0.16988258184722216,0.4619410145635958,0.16861525350542095,0.4619410145635958,0.16743959662804042,0.4619410145635958,0.16636522989565103,0.4619410145635958,0.16538647044625032,0.4619410145635958,0.16449707370223254,0.4619410145635958,0.163686342223146,0.4619410145635958,0.1629465784339131,0.4619410145635958,0.16226964935503044,0.4619410145635958,0.16164843225269393
0.03125,0.03125,0.6532880734995659,0.6532885951665947,0.6709882441528566,0.6714149386893123,0.5811369708607442,0.5811795724327823,0.4783630279027419,0.4779010859098461,0.4030255205560509,0.40224973354276583,0.35099062854635604,0.3500680613011724,0.31368359413362285,0.31267871313402246,0.28571809331192227,0.28464952559419787,0.2639642532018008,0.2628379544149077,0.24659367519952352,0.2454141545777052,0.2324603365241755,0.23123269726461562,0.2207970181573115,0.21952665007662833,0.21106408677151065,0.20975620339733678,0.20286418872301468,0.2015235617358914,0.19589388076181108,0.19452473774322776,0.18993356251329208,0.18853960439861356,0.18491736909401624,0.18350226013848775,0.18047738130185165,0.17904344442211712,0.17658715604095784,0.17513664885094982,0.17319447627771786,0.17172948911824615,0.17022309725369494,0.16874542113963356,0.16760699928747036,0.16611816437119364,0.1652941684717208,0.16379548680837697,0.16324208624508516,0.16173468860238038,0.1614138197976941,0.15989867763788276,0.159783594486794,0.15826156728625182,0.1583270307045075,0.15679887153933533,0.15702247065602506,0.15548883617903994,0.1558481982732774,0.15430965028082144,0.15479057190830567,0.15324761198593392,0.15385231992594464,0.15230545833893794,0.15301031511324614,0.1514599602536546,0.15224319786728072,0.1506896661930297,0.15153004116484123,0.14997356051104738,0.15087662769194868,0.14931744999644175,0.15027995936937963,0.14871832299481086,0.1497367436090554,0.14817287188612327,0.14924091682370708,0.14767500636801062,0.1487879054535234,0.14722013338772222,0.14837299570159232,0.14680351878072986,0.14799211556978809,0.1464210728504389
0,0.06249999999999999,0.3535546742433653,0.8535657857595809,0.3535546742433653,0.9317452908163811,0.3535546742433653,0.8808045077856361,0.3535546742433653,0.7853434401152132,0.3535546742433653,0.6925460160561666,0.3535546742433653,0.6118983368369224,0.3535546742433653,0.5434516436868099,0.3535546742433653,0.4853756024885344,0.3535546742433653,0.43582416377304506,0.3535546742433653,0.39329799115166963,0.3535546742433653,0.35661899568033645,0.3535546742433653,0.3248551830820525,0.3535546742433653,0.2972557578483355,0.3535546742433653,0.27320029828837933,0.3535546742433653,0.252162263595122,0.3535546742433653,0.2337233428824297,0.3535546742433653,0.21782748495117138,0.3535546742433653,0.2035524598114278,0.3535546742433653,0.1908628782627705,0.3535546742433653,0.1796412344128682,0.3535546742433653,0.16969130507652475,0.3535546742433653,0.16083742378809793,0.3535546742433653,0.15293634136346168,0.3535546742433653,0.14586725543055976,0.3535546742433653,0.13952228071295067,0.3535546742433653,0.13382405439219447,0.3535546742433653,0.12869792058302265,0.3535546742433653,0.12407747331992247,0.3535546742433653,0.11989473040225407,0.3535546742433653,0.11610619188906326,0.3535546742433653,0.11272324436959438,0.3535546742433653,0.10966808226564646,0.3535546742433653,0.1068710466905479,0.3535546742433653,0.10426220263558984,0.3535546742433653,0.10186271424088232,0.3535546742433653,0.09966190237418204,0.3535546742433653,0.0976483156953344,0.3535546742433653,0.09580122242292424,0.3535546742433653,0.09410539426925735,0.3535546742433653,0.0925447309686868,0.3535546742433653,0.09110490616452624
0.03125,0.0625,0.5448912470271552,0.8154998085492643,0.41637839043820063,0.8383145836100436,0.21924546557836394,0.7860927131986201,0.09034633494325214,0.711460128383229,0.03590671170696207,0.6309441417463225,0.020079110367509936,0.5551358817563843,0.020676846605480033,0.48859931670016293,0.027477500208217123,0.4317824162178036,0.03604504097770039,0.38375069987790306,0.04457358563846605,0.343190059410973,0.05238423260376891,0.30884599469972057,0.05927399378414036,0.27964133147796655,0.0652426351380864,0.2546878957889855,0.07036743089467076,0.23325929000417983,0.07475451800581086,0.21475534174826982,0.0785063514779336,0.1987147677842973,0.08165980485046588,0.18502147993628656,0.08443098636961413,0.1728028347058159,0.0868263609067426,0.16201418109809393,0.08889111304667505,0.15252646859608934,0.09067864685557268,0.14415326865855219,0.09223774573064851,0.13672856906160338,0.09360387441523002,0.13012247481411732,0.09480586420836096,0.12422678497367308,0.09586861748833021,0.11894610078856589,0.09680999731018086,0.1142123766845385,0.09764792798021671,0.10995983015280704,0.09839534752592206,0.10613231015625237,0.09906683120942836,0.10267097729657697,0.09967147895206678,0.09953858345195941,0.10020949026440513,0.09674386048198101,0.10069566798232267,0.0942214646677393,0.10114073497333835,0.09191354478953427,0.10155522423318727,0.08976202160342879,0.10193575329742577,0.087784317379766,0.10228481360193177,0.08597130058801637,0.10260501743009387,0.08431321044190068,0.10290000796121374,0.08279285248474547,0.10317197907318082,0.08139765272607627,0.10342359061193412,0.08011421622772881,0.103657436471139,0.07893053488795829
0.0625,0,0.8535656550589079,0.3535533905932738,0.9311360816362545,0.3535533905932738,0.8801652543336153,0.3535533905932738,0.7849082252581673,0.3535533905932738,0.6923786863910895,0.3535533905932738,0.611997909910843,0.3535533905932738,0.5437566015769991,0.3535533905932738,0.48581056145101587,0.3535533905932738,0.43632911363143134,0.3535533905932738,0.39383543983536234,0.3535533905932738,0.3571688100896456,0.3535533905932738,0.3254078962087754,0.3535533905932738,0.29780762724275645,0.3535533905932738,0.2737503409720551,0.3535533905932738,0.2527106878410237,0.3535533905932738,0.23427069608279433,0.3535533905932738,0.21837449162398637,0.3535533905932738,0.204099617717321,0.3535533905932738,0.19141068540548828,0.3535533905932738,0.1801901276373807,0.3535533905932738,0.17024161306267382,0.3535533905932738,0.161389385868558,0.3535533905932738,0.15349012307080281,0.3535533905932738,0.14642296560219709,0.3535533905932738,0.14007997966943467,0.3535533905932738,0.13438376974622881,0.3535533905932738,0.12925964890022168,0.3535533905932738,0.12464118367049508,0.3535533905932738,0.12046037498318514,0.3535533905932738,0.11667370989705309,0.3535533905932738,0.11329255022648747,0.3535533905932738,0.1102390882323801,0.3535533905932738,0.10744367236710199,0.3535533905932738,0.10483638526240047,0.3535533905932738,0.10243838072656969,0.3535533905932738,0.10023897820839814,0.3535533905932738,0.09822672390371177,0.3535533905932738,0.09638088717248111,0.3535533905932738,0.09468624441801751,0.3535533905932738,0.09312669897868078,0.3535533905932738,0.09168792760778484,0.3535533905932738
0.0625,0.03125,0.8154997736310174,0.5448909307793209,0.838262814658346,0.4157968428470462,0.7863820204954427,0.2185212167165271,0.7123280141341402,0.08991225073178756,0.6321317691433861,0.03568196231891448,0.5562986542411803,0.019765456384413797,0.48962035091476025,0.020214285766388323,0.4326567029704465,0.026896089887326512,0.3845081152706418,0.0353872779963695,0.34386099805404846,0.04387058525628107,0.30945413929092536,0.05165582258938726,0.2802037586864499,0.05853208905460422,0.2552166988416688,0.06449420792041562,0.2337630915525202,0.06961653520457017,0.21524034624308316,0.07400349992530571,0.19918564530460145,0.07775667714984007,0.1854820941137915,0.08091241354499025,0.17325535328322003,0.0836862731903136,0.16246063951542838,0.08608466345146115,0.1529685232131496,0.08815262222018085,0.14459219421559857,0.0899434491232321,0.13716531591803852,0.09150583627106204,0.13055777218701967,0.09287520004776814,0.12466119371957422,0.09408033570604149,0.11938004617818128,0.09514612295983897,0.11464619294012453,0.09609041132865581,0.11039376289181277,0.09693111166780895,0.10656654519207327,0.09768115919414248,0.10310564180532393,0.09835512761485833,0.09997376869088204,0.09896211743072857,0.09717963130303851,0.09950230588069027,0.09465785137170891,0.09999051358476559,0.09235056182305569,0.10043748685574619,0.09019967618799676,0.10085378855554313,0.08822261319783192,0.10123602204733248,0.08641023443046246,0.10158668007903238,0.08475277121541111,0.1019083758305571,0.08323302390634521,0.10220475975891524,0.08183841808378384,0.10247803234392741,0.08055555645600947,0.10273085962711032,0.07937242805095283,0.10296584078784665
0,0.09374999999999999,0.19134244512818496,0.9619459843767534,0.19134244512818496,0.9493950151470236,0.19134244512818496,0.8397857551853574,0.19134244512818496,0.7275528645176681,0.19134244512818496,0.6350393408616238,0.19134244512818496,0.5610949299441593,0.19134244512818496,0.501610884142887,0.19134244512818496,0.4528908237121247,0.19134244512818496,0.41217513569237335,0.19134244512818496,0.37749725508899323,0.19134244512818496,0.3474725381095988,0.19134244512818496,0.32112058247118513,0.19134244512818496,0.2977398593436413,0.19134244512818496,0.27681527778823467,0.19134244512818496,0.2579561219586759,0.19134244512818496,0.24088211875382662,0.19134244512818496,0.2256038151665097,0.19134244512818496,0.21149353788424174,0.19134244512818496,0.1985372931960052,0.19134244512818496,0.18669005351702544,0.19134244512818496,0.17584333662064744,0.19134244512818496,0.1658975861801012,0.19134244512818496,0.15676766268169892,0.19134244512818496,0.14837805032341012,0.19134244512818496,0.14065802956663304,0.19134244512818496,0.133555013498864,0.19134244512818496,0.1270180067247779,0.19134244512818496,0.12099685209408617,0.19134244512818496,0.11543908903196476,0.19134244512818496,0.1103097936051584,0.19134244512818496,0.10563672677354291,0.19134244512818496,0.10134483582152311,0.19134244512818496,0.09736087992269306,0.19134244512818496,0.09360461668221154,0.19134244512818496,0.09010463785284525,0.19134244512818496,0.08685157117216578,0.19134244512818496,0.0838360315189783,0.19134244512818496,0.08103665597082622,0.19134244512818496,0.07843620398111056,0.19134244512818496,0.0760170213273564,0.19134244512818496,0.07376331826218811
0.03125,0.09374999999999999,0.38266921459927816,0.9238818211427957,0.15794334651935207,0.89297694712826,-0.024889165194738442,0.8027474124831022,-0.09945337814081394,0.7064654894669529,-0.12147484201536614,0.6216335765228215,-0.12390094193905675,0.551184235556668,-0.11860108884573578,0.4930351511814508,-0.11041644608776559,0.44456067629931667,-0.10128884810954325,0.4035495236314416,-0.09204494838693299,0.36833778785271254,-0.08304799388932403,0.33770959970790915,-0.07446481645871683,0.31077912017108156,-0.06636837719837764,0.28689438330375777,-0.05878576666558358,0.2655630008259008,-0.05171727475359632,0.24640003045355274,-0.04514990260065714,0.22912102997583436,-0.039141823511893103,0.21373599445675162,-0.03352423702816074,0.19958331377912636,-0.028308750988961642,0.18665019669295205,-0.023495208432410538,0.1748827222831188,-0.019054804117511714,0.16415932528185323,-0.01495878630346772,0.15436972661839157,-0.011179482342563359,0.14541977267552095,-0.007691322292284115,0.13722704281133657,-0.004469053284591631,0.12971472163732453,-0.0014933267712939828,0.12282607934735798,0.0012551270458012473,0.11650598090642693,0.003795848249401161,0.11070123715838955,0.006148910043274614,0.10535688332430931,0.008328069972897595,0.10043639555185603,0.01032193252688604,0.09596446261964094,0.012161115581285228,0.09186496571553404,0.013874540094097733,0.0880657354259512,0.015494303655384333,0.08448855161624763,0.017008337431582303,0.0811609128189132,0.01842060512640926,0.07807289689286645,0.019735021772379416,0.07521445715181901,0.020960367383168477,0.07256416906235558,0.02210342799964042,0.07010525636655965,0.02317129151052838,0.06782029357983707,0.024170394425072145,0.06569358661734491
