X,Y,u (1) @ t=0,u (1) @ t=0.05,u (1) @ t=0.1,u (1) @ t=0.15,u (1) @ t=0.2,u (1) @ t=0.25,u (1) @ t=0.3,u (1) @ t=0.35,u (1) @ t=0.4,u (1) @ t=0.45,u (1) @ t=0.5,u (1) @ t=0.55,u (1) @ t=0.6,u (1) @ t=0.65,u (1) @ t=0.7,u (1) @ t=0.75,u (1) @ t=0.8,u (1) @ t=0.85,u (1) @ t=0.9,u (1) @ t=0.95,u (1) @ t=1,u (1) @ t=1.05,u (1) @ t=1.1,u (1) @ t=1.15,u (1) @ t=1.2,u (1) @ t=1.25,u (1) @ t=1.3,u (1) @ t=1.35,u (1) @ t=1.4,u (1) @ t=1.45,u (1) @ t=1.5,u (1) @ t=1.55,u (1) @ t=1.6,u (1) @ t=1.65,u (1) @ t=1.7,u (1) @ t=1.75,u (1) @ t=1.8,u (1) @ t=1.85,u (1) @ t=1.9,u (1) @ t=1.95,u (1) @ t=2
0,0,0.9999996911795977,0.995147014491869,0.9903526558963804,0.9862117337351635,0.9827856233170338,0.9800503666019156,0.9777562044312665,0.9759637284825552,0.9746970962219621,0.9739563076494873,0.9734037852799082,0.9731832888247041,0.9733314185253795,0.9738481743819348,0.9743142059209882,0.9749080964477091,0.9756753120529154,0.9766158527366067,0.9774767882356303,0.9783658306553451,0.9793104027627326,0.9803105045577926,0.9812764113813701,0.9822203236295549,0.9831367566128623,0.9840115931624906,0.9848865286839038,0.9857398568402923,0.9865608721742183,0.9873442389994693,0.9881131685356006,0.9888584434036656,0.9895764729328728,0.9902664129724611,0.9909346161630841,0.9915792597634053,0.992199939548171,0.9927969437010328,0.9933684117903582,0.9939149241598108,0.9944366376524749
0.03125,0,0.96193967995734,0.9599704814073612,0.9579408760079646,0.9563344866884371,0.9551999277178017,0.9545180976173058,0.9541137445199485,0.9540293846027664,0.9542819687598724,0.9548714969912662,0.9555602903701607,0.9564495661146322,0.9575650934376823,0.9589068723393108,0.9601848472512815,0.9615225403474003,0.962951399530184,0.964471424799633,0.9659067960170625,0.9673323874069573,0.9687672614359181,0.9702114181039452,0.9716025621777337,0.9729491643110365,0.9742474165204714,0.9754875173497566,0.9766999987980792,0.9778695750290886,0.9789889100902031,0.9800545485419947,0.9810850800043369,0.9820740514398412,0.9830193549795924,0.9839210037269949,0.984786295067218,0.9856142516165068,0.9864053317518837,0.9871606946767908,0.9878798926890803,0.9885643034927144,0.9892149880642012
0,0.031249999999999997,0.9619395817332717,0.9591762026579868,0.9567460403142928,0.9549068066749425,0.9535977336967005,0.9528295570726082,0.9523376470812345,0.9521862030048925,0.9524008206358774,0.9529814999741891,0.9536475709433034,0.9545185588403391,0.9556248939902846,0.9569665763931399,0.9582401579001683,0.9595748640083912,0.9610035946474967,0.9625263498174851,0.9639607350977477,0.9653844244162859,0.9668171930251105,0.9682590409242215,0.9696483007075933,0.9709933576595663,0.972290442174587,0.9735298515779554,0.9747416420908559,0.9759107047848061,0.9770297673671241,0.9780953827794565,0.9791262242212987,0.9801158368111426,0.9810621256578852,0.9819651240776536,0.9828316732608097,0.9836608808162892,0.9844531962119953,0.9852097239067114,0.9859302532872678,0.9866160676306113,0.9872681910077992
0.03125,0.03125,0.9238795438555271,0.9236883302017582,0.9237717596309556,0.9242707837886096,0.9250983309016377,0.9262733235295532,0.927577326365511,0.9290633319073137,0.930752467882843,0.9326447342920992,0.9345360584580884,0.9365133461445233,0.9385987229657871,0.9407921889218797,0.9428973727514633,0.9449979005170227,0.9471150628433899,0.949248859730565,0.9512829624033494,0.9532669102768145,0.9552133157479735,0.9571221788168262,0.95895719151341,0.9607232908485641,0.96241825738849,0.96403637848133,0.9655990427830334,0.9670968525155705,0.9685257516759841,0.9698842916992426,0.9711872474260272,0.9724309642982437,0.9736149854552988,0.9747404149030943,0.9758141660611401,0.9768365529947824,0.977809034827792,0.9787336296121458,0.9796110034657399,0.9804433582710772,0.9812326294391001
0,0.06249999999999999,0.8535538618998096,0.8589047615268229,0.8638827412444956,0.868699368593668,0.8734143738878141,0.8780102259427606,0.8825167670482007,0.8869267574520364,0.8912373107171571,0.8954484268435624,0.8995588009425413,0.9035689887099944,0.9074791316223056,0.9112892296794751,0.914975600811756,0.9185483301926655,0.9220099854385585,0.9253605665494353,0.9285829905974003,0.9316845324656821,0.9346670442899053,0.93753052607007,0.9402759940372585,0.94290331000848,0.9454125361039145,0.9478038322161249,0.9500885442730068,0.9522653111353024,0.9543349764756073,0.956299460183686,0.9581694281997134,0.9599456111609094,0.9616304635856586,0.9632272814566653,0.9647421673309812,0.9661780355646873,0.967538353700781,0.9688268593049628,0.9700452842160381,0.9711976387303344,0.972287537807467
0.03125,0.0625,0.8154937553766739,0.8225987912588555,0.8293975618269273,0.8359822519812683,0.8423637289785236,0.8485380952287898,0.8545241467031137,0.8603173234909718,0.8659158075888221,0.8713195989966647,0.8765509724200129,0.8816004420211613,0.8864655927705626,0.8911464246682169,0.8956701826599083,0.9000252642966684,0.9042087156741666,0.9082205367924029,0.9120803995662106,0.9157799265743325,0.9193169849824853,0.9226915747906688,0.9259227088400591,0.9290078018414465,0.931948016011897,0.9347463428087288,0.9374113128383508,0.9399451643670014,0.9423512274491369,0.9446333650650602,0.9468002756530681,0.948855164687452,0.9508021907304188,0.952645977567354,0.9543915891896064,0.9560435895251364,0.9576066292682419,0.9590854014657798,0.9604817974989085,0.9618008913736498,0.9630472048766232
0.0625,0,0.8535539991011335,0.8599120542069886,0.8653698358580221,0.8704868295054133,0.8754517486056234,0.8802106474394534,0.8848771030225109,0.8894235615227851,0.893839037425553,0.8981235307308147,0.9023131883004478,0.9063926167428257,0.9103578970054869,0.9142090290884313,0.9179343722486611,0.921538883777252,0.9250238257666822,0.9283891982169518,0.9316306363291351,0.9347499988831024,0.9377477591115242,0.9406239170144003,0.9433798701487911,0.9460154284805421,0.9485306774395298,0.9509258369156828,0.9532137885932005,0.9553930306624615,0.9574645570036284,0.9594305796979489,0.9613006082324076,0.9630758624165481,0.9647590004074785,0.9663533824513943,0.9678658378626696,0.9692992551776461,0.9706572066997393,0.9719435984941148,0.9731592534252114,0.9743084967993539,0.9753950462117963
0.0625,0.03125,0.8154937760223262,0.8226455499550394,0.8294279353227435,0.8360214650589425,0.8424358922206882,0.8486662516510192,0.8547048795349688,0.8605536351172881,0.8662132596654927,0.8716837531795825,0.876969671369147,0.8820690741536868,0.8869814676019461,0.8917068517139247,0.896267714950462,0.9006544804446656,0.9048647099915785,0.9088984035912009,0.9127795303028445,0.9164978827364968,0.9200508621603174,0.9234384685743063,0.9266808300366633,0.9297752096154807,0.9327228376988168,0.9355268812108808,0.9381967669227944,0.9407348105701135,0.943144561729006,0.9454301722403842,0.9475993670456179,0.9496558121298782,0.9516038777505833,0.9534482779359285,0.9551943107046965,0.9568466106764056,0.9584099275774309,0.9598890673203371,0.9612853246416385,0.9626039828894111,0.9638496333450295
0,0.09374999999999999,0.6913427676493981,0.7040086087740968,0.7160706483955811,0.7276522534491408,0.7388060632472205,0.7495175401956574,0.7598547672038118,0.7698012273290854,0.7793503353852134,0.7885020913721955,0.7973297278341498,0.8058020581846652,0.8139111425316634,0.8216569808751445,0.8291249945012007,0.8362788061631837,0.8431091544623408,0.8496160393986719,0.8558792917505493,0.8618649150277795,0.8675642539559563,0.8729773085350795,0.878154006848445,0.8830875598773152,0.8877810196258555,0.8922422417179984,0.8964835815904905,0.9005122830009258,0.9043364766378209,0.9079647261201863,0.9114045077949586,0.9146645331240059,0.917753299263565,0.92067919876258,0.9234464234792791,0.9260639371555323,0.9285398755604373,0.9308819703113678,0.9330925213522684,0.9351799988774865,0.9371518024770309
0.03125,0.09374999999999999,0.6532825784754985,0.6666421416906353,0.6795208402011789,0.6919636368794155,0.7039806748060208,0.7155688593130463,0.7267556165370899,0.737534292885816,0.7479022356197973,0.7578594447390333,0.767457100362139,0.7766734070809265,0.7855028159332059,0.7939453269189773,0.8020792344111279,0.8098711962083873,0.8173127236138439,0.8244038166274977,0.8312247062601585,0.8377412255798756,0.8439446759189346,0.8498350572773354,0.8554667170460348,0.8608322652867217,0.865935024147026,0.8707835445793749,0.8753919931216396,0.879768157141662,0.8839209308614095,0.8878597487826971,0.8915929148003777,0.895130017151626,0.8984804212265081,0.9016533836385139,0.9046532674170746,0.9074899945854393,0.910172522622063,0.9127093381898688,0.9151030185985742,0.9173628540410399,0.9194969699532113
