X,Y,u @ t=0,v @ t=0,u @ t=0.05,v @ t=0.05,u @ t=0.1,v @ t=0.1,u @ t=0.15,v @ t=0.15,u @ t=0.2,v @ t=0.2,u @ t=0.25,v @ t=0.25,u @ t=0.3,v @ t=0.3,u @ t=0.35,v @ t=0.35,u @ t=0.4,v @ t=0.4,u @ t=0.45,v @ t=0.45,u @ t=0.5,v @ t=0.5,u @ t=0.55,v @ t=0.55,u @ t=0.6,v @ t=0.6,u @ t=0.65,v @ t=0.65,u @ t=0.7,v @ t=0.7,u @ t=0.75,v @ t=0.75,u @ t=0.8,v @ t=0.8,u @ t=0.85,v @ t=0.85,u @ t=0.9,v @ t=0.9,u @ t=0.95,v @ t=0.95,u @ t=1,v @ t=1,u @ t=1.05,v @ t=1.05,u @ t=1.1,v @ t=1.1,u @ t=1.15,v @ t=1.15,u @ t=1.2,v @ t=1.2,u @ t=1.25,v @ t=1.25,u @ t=1.3,v @ t=1.3,u @ t=1.35,v @ t=1.35,u @ t=1.4,v @ t=1.4,u @ t=1.45,v @ t=1.45,u @ t=1.5,v @ t=1.5,u @ t=1.55,v @ t=1.55,u @ t=1.6,v @ t=1.6,u @ t=1.65,v @ t=1.65,u @ t=1.7,v @ t=1.7,u @ t=1.75,v @ t=1.75,u @ t=1.8,v @ t=1.8,u @ t=1.85,v @ t=1.85,u @ t=1.9,v @ t=1.9,u @ t=1.95,v @ t=1.95,u @ t=2,v @ t=2
0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.03125,0,0.6913257575129949,0.46193976625564337,0.5494608115214277,0.46193976625564337,0.5135533673154166,0.46193976625564337,0.5009040087359928,0.46193976625564337,0.49675272368460294,0.46193976625564337,0.49498179253006197,0.46193976625564337,0.49425441679225174,0.46193976625564337,0.4939261710919374,0.46193976625564337,0.4937790179440525,0.46193976625564337,0.49370988714805425,0.46193976625564337,0.49367650145920455,0.46193976625564337,0.4936608831981735,0.46193976625564337,0.4936532756454359,0.46193976625564337,0.49364946728352854,0.46193976625564337,0.4936475916243075,0.46193976625564337,0.4936467414513785,0.46193976625564337,0.4936462437720472,0.46193976625564337,0.4936459807911031,0.46193976625564337,0.4936458515397812,0.46193976625564337,0.49364578986051716,0.46193976625564337,0.4936457599223196,0.46193976625564337,0.49364574397255157,0.46193976625564337,0.49364573500276077,0.46193976625564337,0.49364573038401965,0.46193976625564337,0.4936457280337896,0.46193976625564337,0.49364572704508053,0.46193976625564337,0.49364572645815474,0.46193976625564337,0.4936457260821092,0.46193976625564337,0.4936457258560357,0.46193976625564337,0.4936457257457996,0.46193976625564337,0.49364572569760135,0.46193976625564337,0.4936457256756829,0.46193976625564337,0.4936457256704253,0.46193976625564337,0.49364572566832393,0.46193976625564337,0.49364572566633674,0.46193976625564337,0.4936457256643941,0.46193976625564337,0.49364572566278897,0.46193976625564337,0.49364572566160125,0.46193976625564337,0.4936457256609996,0.46193976625564337,0.4936457256607341,0.46193976625564337,0.4936457256606069,0.46193976625564337
0,0.031249999999999997,0.4619397662556434,0.6913257575129947,0.4619397662556434,0.5494608115214276,0.4619397662556434,0.5135533673154165,0.4619397662556434,0.5009040087359928,0.4619397662556434,0.4967527236846029,0.4619397662556434,0.4949817925300619,0.4619397662556434,0.4942544167922516,0.4619397662556434,0.4939261710919373,0.4619397662556434,0.4937790179440524,0.4619397662556434,0.4937098871480542,0.4619397662556434,0.49367650145920455,0.4619397662556434,0.4936608831981734,0.4619397662556434,0.4936532756454358,0.4619397662556434,0.4936494672835286,0.4619397662556434,0.49364759162430744,0.4619397662556434,0.4936467414513784,0.4619397662556434,0.4936462437720472,0.4619397662556434,0.4936459807911031,0.4619397662556434,0.49364585153978113,0.4619397662556434,0.49364578986051705,0.4619397662556434,0.4936457599223195,0.4619397662556434,0.4936457439725515,0.4619397662556434,0.4936457350027607,0.4619397662556434,0.4936457303840196,0.4619397662556434,0.4936457280337895,0.4619397662556434,0.4936457270450805,0.4619397662556434,0.49364572645815463,0.4619397662556434,0.4936457260821091,0.4619397662556434,0.4936457258560356,0.4619397662556434,0.4936457257457995,0.4619397662556434,0.4936457256976013,0.4619397662556434,0.4936457256756828,0.4619397662556434,0.49364572567042525,0.4619397662556434,0.4936457256683238,0.4619397662556434,0.4936457256663367,0.4619397662556434,0.4936457256643941,0.4619397662556434,0.49364572566278897,0.4619397662556434,0.49364572566160125,0.4619397662556434,0.4936457256609996,0.4619397662556434,0.49364572566073406,0.4619397662556434,0.4936457256606068
0.03125,0.03125,0.6532715392715772,0.6532715392715772,0.5405731179049409,0.5405731179049408,0.5035310997090209,0.503531099709021,0.49075894083039523,0.4907589408303952,0.48608552667660165,0.48608552667660165,0.4841755238144945,0.48417552381449447,0.4833643242832147,0.4833643242832147,0.48300398586494436,0.48300398586494436,0.4828405446549209,0.4828405446549209,0.4827636395313087,0.48276363953130863,0.4827264091833089,0.48272640918330895,0.4827089559132385,0.4827089559132386,0.48270044095101483,0.48270044095101483,0.482696173227648,0.48269617322764796,0.4826940688521097,0.4826940688521098,0.48269311394092884,0.4826931139409288,0.4826925546361775,0.48269255463617744,0.4826922588891975,0.4826922588891974,0.48269211342207274,0.48269211342207263,0.4826920439526675,0.4826920439526675,0.48269201021266517,0.4826920102126651,0.48269199223319925,0.48269199223319914,0.4826919821201562,0.4826919821201562,0.4826919769110821,0.48269197691108207,0.48269197425948823,0.4826919742594882,0.48269197314350504,0.48269197314350504,0.4826919724809064,0.4826919724809064,0.4826919720563203,0.4826919720563203,0.48269197180102247,0.48269197180102247,0.4826919716764966,0.4826919716764965,0.48269197162202665,0.4826919716220265,0.48269197159724514,0.48269197159724503,0.48269197159128796,0.4826919715912879,0.48269197158890437,0.4826919715889043,0.48269197158665544,0.4826919715866554,0.4826919715844595,0.48269197158445937,0.48269197158264576,0.48269197158264576,0.4826919715813037,0.48269197158130367,0.48269197158062355,0.48269197158062344,0.482691971580323,0.4826919715803229,0.48269197158017907,0.482691971580179
0,0.06249999999999999,0.35355339059327384,0.8535357811887528,0.35355339059327384,0.6698641013279689,0.35355339059327384,0.5702134838422482,0.35355339059327384,0.5281486734703476,0.35355339059327384,0.5085047898274525,0.35355339059327384,0.499758355297183,0.35355339059327384,0.49564617794591254,0.35355339059327384,0.49374106766937353,0.35355339059327384,0.49282678413123104,0.35355339059327384,0.4923823183537349,0.35355339059327384,0.49216212966456424,0.35355339059327384,0.4920562157802458,0.35355339059327384,0.49200355842404747,0.35355339059327384,0.49197678120450294,0.35355339059327384,0.4919633887730135,0.35355339059327384,0.4919572288704683,0.35355339059327384,0.4919535956520616,0.35355339059327384,0.49195165794751594,0.35355339059327384,0.49195069558303434,0.35355339059327384,0.49195023160744,0.35355339059327384,0.4919500044827102,0.35355339059327384,0.49194988305943244,0.35355339059327384,0.4919498145966083,0.35355339059327384,0.4919497791840618,0.35355339059327384,0.4919497610701782,0.35355339059327384,0.49194975340159525,0.35355339059327384,0.4919497488374482,0.35355339059327384,0.491949745907512,0.35355339059327384,0.4919497441418173,0.35355339059327384,0.4919497432768438,0.35355339059327384,0.49194974289623644,0.35355339059327384,0.4919497427220447,0.35355339059327384,0.491949742678952,0.35355339059327384,0.4919497426614628,0.35355339059327384,0.4919497426454459,0.35355339059327384,0.49194974263004093,0.35355339059327384,0.49194974261738933,0.35355339059327384,0.49194974260802066,0.35355339059327384,0.4919497426032417,0.35355339059327384,0.4919497426011106,0.35355339059327384,0.4919497426000822
0.03125,0.0625,0.5448943529846818,0.8154814104798275,0.5008130543084517,0.6641005620770699,0.4617274132633863,0.566766790194321,0.44645752891794926,0.5248490002113229,0.4389435096137679,0.5047997332315786,0.4357913081480445,0.49583542316493473,0.4343005735841076,0.49160153889826047,0.4336281211239572,0.4896376604845172,0.43330483174486545,0.48869304082576714,0.4331486349807133,0.4882331511489688,0.433071495449909,0.488005247196978,0.43303449901419966,0.48789553510328737,0.4330161457813444,0.4878409602387108,0.4330068294696416,0.4878131981598096,0.43300217787738343,0.4877993086800398,0.43300004170084705,0.48779291836080224,0.43299878289087723,0.4877891487786135,0.4329981122833187,0.4877871380663668,0.43299777964960967,0.48778613929857345,0.43299761948275384,0.48778565771202514,0.4329975411617182,0.48778542194569513,0.4329974993103531,0.4877852959000038,0.4329974757215075,0.48778522482980574,0.43299746352749113,0.4877851880673784,0.4329974572944399,0.4877851692622994,0.4329974546578808,0.48778516130076577,0.4329974530892295,0.4877851565621973,0.4329974520825112,0.4877851535202638,0.4329974514760277,0.48778515168705516,0.4329974511791178,0.48778515078899015,0.432997451048588,0.4877851503938122,0.43299745098890274,0.48778515021294805,0.4329974509742008,0.4877851501682,0.4329974509682468,0.4877851501500386,0.4329974509627702,0.48778515013340795,0.4329974509574907,0.48778515011741336,0.432997450953151,0.4877851501042778,0.43299745094993763,0.4877851500945507,0.43299745094830006,0.4877851500895887,0.43299745094757097,0.4877851500873759,0.4329974509472195,0.48778515008630813
0.0625,0,0.8535357811887528,0.3535533905932738,0.6698641013279691,0.3535533905932738,0.5702134838422486,0.3535533905932738,0.5281486734703476,0.3535533905932738,0.5085047898274528,0.3535533905932738,0.4997583552971829,0.3535533905932738,0.4956461779459125,0.3535533905932738,0.49374106766937353,0.3535533905932738,0.4928267841312311,0.3535533905932738,0.492382318353735,0.3535533905932738,0.4921621296645644,0.3535533905932738,0.4920562157802459,0.3535533905932738,0.4920035584240476,0.3535533905932738,0.4919767812045029,0.3535533905932738,0.4919633887730135,0.3535533905932738,0.49195722887046833,0.3535533905932738,0.49195359565206165,0.3535533905932738,0.491951657947516,0.3535533905932738,0.49195069558303434,0.3535533905932738,0.49195023160744006,0.3535533905932738,0.49195000448271026,0.3535533905932738,0.4919498830594326,0.3535533905932738,0.49194981459660836,0.3535533905932738,0.4919497791840619,0.3535533905932738,0.49194976107017835,0.3535533905932738,0.4919497534015953,0.3535533905932738,0.49194974883744824,0.3535533905932738,0.49194974590751206,0.3535533905932738,0.49194974414181736,0.3535533905932738,0.4919497432768439,0.3535533905932738,0.49194974289623655,0.3535533905932738,0.4919497427220448,0.3535533905932738,0.49194974267895203,0.3535533905932738,0.49194974266146285,0.3535533905932738,0.49194974264544594,0.3535533905932738,0.4919497426300409,0.3535533905932738,0.4919497426173894,0.3535533905932738,0.4919497426080207,0.3535533905932738,0.4919497426032417,0.3535533905932738,0.4919497426011106,0.3535533905932738,0.4919497426000823,0.3535533905932738
0.0625,0.03125,0.8154814104798275,0.5448943529846818,0.66410056207707,0.5008130543084518,0.5667667901943213,0.46172741326338596,0.5248490002113231,0.4464575289179494,0.5047997332315788,0.4389435096137679,0.4958354231649347,0.4357913081480444,0.49160153889826047,0.4343005735841076,0.48963766048451707,0.43362812112395716,0.48869304082576737,0.4333048317448653,0.4882331511489689,0.43314863498071327,0.4880052471969781,0.43307149544990897,0.4878955351032874,0.4330344990141997,0.48784096023871093,0.43301614578134434,0.48781319815980967,0.43300682946964153,0.4877993086800398,0.43300217787738343,0.4877929183608023,0.43300004170084694,0.48778914877861357,0.4329987828908772,0.48778713806636687,0.4329981122833187,0.48778613929857356,0.4329977796496096,0.4877856577120252,0.4329976194827538,0.48778542194569513,0.43299754116171824,0.4877852959000039,0.4329974993103531,0.48778522482980585,0.4329974757215075,0.48778518806737853,0.43299746352749113,0.48778516926229953,0.43299745729443984,0.4877851613007658,0.4329974546578808,0.4877851565621973,0.43299745308922943,0.48778515352026386,0.4329974520825111,0.4877851516870552,0.4329974514760276,0.48778515078899026,0.4329974511791177,0.4877851503938123,0.43299745104858794,0.48778515021294816,0.4329974509889027,0.4877851501682001,0.43299745097420067,0.4877851501500387,0.43299745096824677,0.48778515013340795,0.43299745096277015,0.4877851501174134,0.4329974509574906,0.48778515010427786,0.4329974509531509,0.48778515009455076,0.43299745094993763,0.4877851500895888,0.4329974509483001,0.487785150087376,0.43299745094757086,0.48778515008630824,0.4329974509472194
0,0.09374999999999999,0.19134171618254506,0.9619274486882393,0.19134171618254506,0.7972069200009778,0.19134171618254506,0.6625772586735076,0.19134171618254506,0.5831613642291257,0.19134171618254506,0.5399900705148063,0.19134171618254506,0.5166138468564987,0.19134171618254506,0.5043944086042862,0.19134171618254506,0.4979757313448486,0.19134171618254506,0.49466772894727096,0.19134171618254506,0.4929442337934069,0.19134171618254506,0.49204464183339786,0.19134171618254506,0.49158956540926796,0.19134171618254506,0.4913546357594815,0.19134171618254506,0.4912316080346414,0.19134171618254506,0.49116829282815594,0.19134171618254506,0.49113836413472467,0.19134171618254506,0.4911204595328398,0.19134171618254506,0.491110743217104,0.19134171618254506,0.4911058225264389,0.19134171618254506,0.49110340437230876,0.19134171618254506,0.49110220163301765,0.19134171618254506,0.4911015541539396,0.19134171618254506,0.4911011872191306,0.19134171618254506,0.4911009957834006,0.19134171618254506,0.49110089689577874,0.19134171618254506,0.49110085453166097,0.19134171618254506,0.49110082919328707,0.19134171618254506,0.49110081286767054,0.19134171618254506,0.4911008029842573,0.19134171618254506,0.4911007981003155,0.19134171618254506,0.4911007959256479,0.19134171618254506,0.49110079491859066,0.19134171618254506,0.4911007946556306,0.19134171618254506,0.4911007945461246,0.19134171618254506,0.4911007944510611,0.19134171618254506,0.49110079436228016,0.19134171618254506,0.4911007942901892,0.19134171618254506,0.49110079423674674,0.19134171618254506,0.49110079420913305,0.19134171618254506,0.4911007941965889,0.19134171618254506,0.49110079419045155
0.03125,0.09374999999999999,0.38269201117072515,0.9238713832163954,0.42711660222866493,0.7896420685675473,0.393190133214163,0.6603141002919055,0.37243411508366764,0.5816319408635856,0.35950535502323866,0.5384143629101054,0.3527289843813748,0.5148577003523067,0.3491174281860784,0.5025110061089432,0.3472370045593371,0.4960064357599526,0.3462605283484268,0.49265142369969644,0.3457507566644461,0.4909013939724125,0.34548442369475885,0.48998721441047993,0.3453495066714752,0.4895245164077742,0.34527980160976257,0.48928556635257814,0.34524329106517904,0.48916040487446905,0.3452244963390131,0.4890959791580252,0.3452156098174825,0.48906552084686244,0.3452102944012388,0.48904729846200967,0.34520741054426884,0.48903740917431604,0.34520595049897385,0.48903240066201686,0.3452052332549508,0.48902993928620825,0.34520487664934474,0.4890287150436671,0.34520468472933546,0.48902805599932275,0.3452045759899451,0.4890276825148227,0.34520451927703655,0.48902748766454907,0.3452044899919441,0.4890273870145309,0.3452044774517599,0.4890273438963079,0.345204469953037,0.4890273181072233,0.3452044651224236,0.48902730149138346,0.34520446219865314,0.4890272914324055,0.3452044607544755,0.48902728646183774,0.3452044601118165,0.4890272842486824,0.34520445981439585,0.48902728322384326,0.3452044597369493,0.4890272829562879,0.34520445970474534,0.4890272828448797,0.3452044596767164,0.4890272827481488,0.3452044596504987,0.4890272826578013,0.3452044596291958,0.4890272825844353,0.3452044596134034,0.48902728253004746,0.34520445960524876,0.4890272825019464,0.3452044596015481,0.48902728248918165,0.34520445959973906,0.48902728248293686
