X,Y,u (1) @ t=0,u (1) @ t=0.05,u (1) @ t=0.1,u (1) @ t=0.15,u (1) @ t=0.2,u (1) @ t=0.25,u (1) @ t=0.3,u (1) @ t=0.35,u (1) @ t=0.4,u (1) @ t=0.45,u (1) @ t=0.5,u (1) @ t=0.55,u (1) @ t=0.6,u (1) @ t=0.65,u (1) @ t=0.7,u (1) @ t=0.75,u (1) @ t=0.8,u (1) @ t=0.85,u (1) @ t=0.9,u (1) @ t=0.95,u (1) @ t=1,u (1) @ t=1.05,u (1) @ t=1.1,u (1) @ t=1.15,u (1) @ t=1.2,u (1) @ t=1.25,u (1) @ t=1.3,u (1) @ t=1.35,u (1) @ t=1.4,u (1) @ t=1.45,u (1) @ t=1.5,u (1) @ t=1.55,u (1) @ t=1.6,u (1) @ t=1.65,u (1) @ t=1.7,u (1) @ t=1.75,u (1) @ t=1.8,u (1) @ t=1.85,u (1) @ t=1.9,u (1) @ t=1.95,u (1) @ t=2
0,0,1.3645434569305338E-5,0.10254170114093437,0.1557531917417972,0.19794554814512755,0.23723378510383605,0.2753551702737656,0.31243288949767767,0.3488652163582435,0.3852975432188094,0.4200646107003623,0.4548316781819152,0.48856914201811197,0.5209962012147645,0.553423260411417,0.5844589787767259,0.6144408961846801,0.6435035873562818,0.6716470522915305,0.6979250907797279,0.722740648737725,0.74619631344619,0.7682920849051229,0.7890261346815564,0.8083992414263403,0.8264116033786677,0.8430632205385383,0.8585609321132861,0.8728166541930812,0.8858079612155787,0.8975348531807787,0.90825116954381,0.9179223942427005,0.9265640439771359,0.9342160575384154,0.9412129086697004,0.9475544864913431,0.9532987341288887,0.9585319321449228,0.9630195010523681,0.9668913506650347,0.9702141480105312
0.03125,0,0.1913502378183143,0.25126217165632403,0.28408754966297306,0.31393885085188056,0.34431113974922123,0.37486244732871904,0.4053699875846722,0.43581634731765345,0.46626270705063466,0.49572232436943864,0.5251819416882426,0.5538336540706217,0.5814571238066418,0.6090805935426619,0.6355570665808794,0.6611648048051694,0.686014749228057,0.7101068998495425,0.7326472613858075,0.753973962230818,0.7741730875662397,0.7932446373920726,0.811153341045792,0.8279142187834581,0.8435310946597631,0.8580039686747074,0.8714982288711355,0.8839434436048701,0.8953216814599396,0.9056329424363442,0.9150818010258102,0.9236404400167432,0.93132136463986,0.9381567623970056,0.9444144799800548,0.9500946609077636,0.9552438980583124,0.9599314572640355,0.9639950392140746,0.9675353970319296,0.9706076414345186
0,0.031249999999999997,0.1913504177613701,0.25279048431382123,0.28638065936616863,0.316702248192802,0.3473977643626397,0.378202252749067,0.40889608128418975,0.4394866540261788,0.4700772267681679,0.49961565255197615,0.5291540783357844,0.5578646777891816,0.5855216800947827,0.6131786824003836,0.6396758348739866,0.6652945175752567,0.6901469147109889,0.7142330262811831,0.7367613358327667,0.7580689161324541,0.7782415836064168,0.7972793382546549,0.815157420706324,0.8318863749110796,0.8474688852865503,0.8619049518327362,0.8753643659870805,0.8877748208893007,0.899117907706202,0.909393626437784,0.9188086071400703,0.9273347530941508,0.9349846951832884,0.9417909443293161,0.948021289356413,0.9536762490492796,0.9588027163987279,0.9634702206657392,0.9675146119873834,0.9710371943663518,0.9740932127247839
0.03125,0.03125,0.3826868417074051,0.3999000720565158,0.412027415471979,0.42915771984128936,0.4502563752073702,0.47293983532453915,0.496692573858896,0.521048278057615,0.545403982256334,0.5696367675457606,0.5938695528351873,0.6175759595453207,0.6406124298818086,0.6636489002182963,0.6858086307690797,0.7073043189768852,0.7282207657829304,0.7485579711872155,0.7676413641748738,0.7857582154873335,0.8029816622949842,0.819311704597826,0.8346495840888352,0.8490373576774484,0.8624857327658055,0.8749947093539067,0.886676158056296,0.8974824379965113,0.9074014201325138,0.9164331044643036,0.9247335777223641,0.9322816158646737,0.9390867601617988,0.9451735691101727,0.9507550005511838,0.9558299952006776,0.9604346280313387,0.9646231000635154,0.9682912396751712,0.9715147827577266,0.9743382493277274
0,0.06249999999999999,0.35356153615429264,0.4172337109598247,0.4546174530550612,0.4855926235307355,0.5139197364124667,0.5408663291550156,0.5663119170261557,0.5907847523831071,0.6152575877400586,0.6376342995685887,0.6600110113971189,0.6814325754865734,0.7016384969990225,0.7218444185114715,0.7410414370852894,0.7594743129999852,0.7772406304192854,0.7943403893431895,0.8103332818200129,0.8254068160422949,0.8396087303162726,0.852939024641946,0.8655078142860266,0.8772682058990912,0.8882082607543839,0.8983279788519046,0.9078130761091612,0.9165844641156796,0.9246220075018646,0.931925706267716,0.9386521969268334,0.9447801806799117,0.9503192324046628,0.9552939970997272,0.9598561109145597,0.9640129511049702,0.967796925385403,0.9712526593877956,0.9743041954059789,0.9770125555062777,0.9794149943016387
0.03125,0.0625,0.5448976853787448,0.5615068286423832,0.5752591563776649,0.5912612981401492,0.6085944922451857,0.6263150677055535,0.6440997149189637,0.661876728783116,0.6796537426472684,0.6967501412782808,0.7138465399092931,0.7304351028839889,0.7463773295688273,0.7623195562536657,0.7776042795291426,0.7923910100003834,0.806743343398843,0.8206612797245216,0.8337574352054706,0.8461967799055264,0.8580213140771619,0.8692310377203769,0.8797958282512719,0.8897285135809486,0.8990323596080342,0.9077073663325282,0.9158473579362943,0.9234123787412885,0.9303922563045441,0.9367869906260613,0.9426995576654487,0.9481159551684005,0.9530424778499733,0.9574953278224728,0.961591947632122,0.9653347731266819,0.9687461950442905,0.9718583445440571,0.9746348067481955,0.9771170334285475,0.9793329656616815
0.0625,0,0.353561325343169,0.41565350478327484,0.4523129253495972,0.48278956274594065,0.5107086207726936,0.5373018849787863,0.562459524831957,0.5866875922449375,0.610915659657918,0.6331311704792757,0.6553466813006333,0.6766364379352791,0.696747961968655,0.7168594860020309,0.7359833423105141,0.7543591395017822,0.77208240780504,0.7891531472202873,0.8051297913262114,0.820200384243364,0.8344128007215966,0.8477670407609094,0.8603587839383758,0.8721472844430439,0.8831221686695007,0.893283436617746,0.9028084694560303,0.9116217281846108,0.9197039810896419,0.9270552281711238,0.9338283348726679,0.9400025151698067,0.945587113422264,0.9506061812931126,0.9552107928477463,0.9594077277569538,0.9632288023099539,0.9667180537201903,0.9698021168032565,0.972540992675599,0.9749715419762053
0.0625,0.03125,0.5448976545105477,0.5614445708319661,0.575216159448797,0.5911670863017476,0.6083946303583669,0.6259960623603993,0.6436635262806275,0.6613269164032539,0.6789903065258803,0.6959970495686117,0.7130037926113432,0.7295146924986385,0.7453945192790152,0.7612743460593919,0.7765070056466442,0.7912495010754679,0.8055644283270159,0.8194517874012883,0.8325250630353216,0.8449488554323823,0.856765070680966,0.8679737087810727,0.8785386161401553,0.8884751890161426,0.8977873471912372,0.9064750906654391,0.9146277332007097,0.9222072399125772,0.9292039273790113,0.9356177956000112,0.9415497248452767,0.9469859978239358,0.9519327811456998,0.956405947189572,0.9605224073334664,0.9642842950821588,0.967713659127164,0.9708422692007492,0.9736349493318268,0.9761325722585174,0.9783628154557454
0,0.09374999999999999,0.461947894971015,0.5267604036338058,0.5643476772777735,0.5947208384154185,0.6218315578015066,0.6470202198361164,0.6699375537105358,0.6913579274436661,0.7127783011767965,0.731217618885089,0.7496569365933814,0.7669400836496583,0.7827517407851878,0.7985633979207174,0.8133577208975475,0.8273815154127411,0.840733181123297,0.8534127180292151,0.8651927841378924,0.8761701946123487,0.886369597932408,0.8957909940980702,0.9047033553160421,0.912992137908132,0.9206281798355356,0.9276114810982528,0.9341932369168559,0.9402664740658925,0.9458039578921634,0.9508056883956687,0.955421578788238,0.9596312444779357,0.9634438493604438,0.9668829805982757,0.9700357670003376,0.9729171555931809,0.9755546177134478,0.977981738089053,0.9801471365637294,0.9820959510465409,0.9838565725314689
0.03125,0.09374999999999999,0.6532837931661019,0.6685509279324925,0.6808121246917976,0.6949273920676383,0.7100889576722069,0.7253232982930626,0.7401318407706817,0.754594936065293,0.7690580313599044,0.782281476073876,0.7955049207878476,0.8081114748630163,0.81993289539789,0.8317543159327639,0.8429506887934513,0.8536736508100005,0.8639836584963526,0.8738807118525074,0.8831506507026121,0.8918846766416741,0.9001060089734092,0.9078146476978174,0.9150999821635941,0.9219239452971331,0.9282768454812695,0.9341586827160036,0.939705623028784,0.9448596791731972,0.9496060879920201,0.953944849485252,0.9579695508492119,0.9616674664756354,0.9650443171632022,0.9681148278076152,0.9709441839402507,0.973540249023757,0.9759208325118676,0.9781085987153613,0.9800818617007369,0.9818693163455321,0.9834909159185364
