X,Y,P @ t=0,T @ t=0,P @ t=0.05,T @ t=0.05,P @ t=0.1,T @ t=0.1,P @ t=0.15,T @ t=0.15,P @ t=0.2,T @ t=0.2,P @ t=0.25,T @ t=0.25,P @ t=0.3,T @ t=0.3,P @ t=0.35,T @ t=0.35,P @ t=0.4,T @ t=0.4,P @ t=0.45,T @ t=0.45,P @ t=0.5,T @ t=0.5,P @ t=0.55,T @ t=0.55,P @ t=0.6,T @ t=0.6,P @ t=0.65,T @ t=0.65,P @ t=0.7,T @ t=0.7,P @ t=0.75,T @ t=0.75,P @ t=0.8,T @ t=0.8,P @ t=0.85,T @ t=0.85,P @ t=0.9,T @ t=0.9,P @ t=0.95,T @ t=0.95,P @ t=1,T @ t=1,P @ t=1.05,T @ t=1.05,P @ t=1.1,T @ t=1.1,P @ t=1.15,T @ t=1.15,P @ t=1.2,T @ t=1.2,P @ t=1.25,T @ t=1.25,P @ t=1.3,T @ t=1.3,P @ t=1.35,T @ t=1.35,P @ t=1.4,T @ t=1.4,P @ t=1.45,T @ t=1.45,P @ t=1.5,T @ t=1.5,P @ t=1.55,T @ t=1.55,P @ t=1.6,T @ t=1.6,P @ t=1.65,T @ t=1.65,P @ t=1.7,T @ t=1.7,P @ t=1.75,T @ t=1.75,P @ t=1.8,T @ t=1.8,P @ t=1.85,T @ t=1.85,P @ t=1.9,T @ t=1.9,P @ t=1.95,T @ t=1.95,P @ t=2,T @ t=2
-2.424242424242424,-2.424242424242424,8.696932826360318E-50,3.7572785862079313E-50,1.4237183322135782E-44,1.3642506780343413E-20,-5.307393701897624E-43,4.923614894635057E-13,-2.0572207711066865E-41,3.8365817013628244E-9,2.796549985359314E-40,4.574593252357422E-7,3.159387476695386E-39,7.914974150710917E-6,-1.8046957998990243E-38,5.927583797415161E-5,-3.0785874098998172E-37,2.571196208173559E-4,-1.3307400356146232E-36,8.124743038207099E-4,-1.481472757970285E-37,0.001989835687930658,5.10648313499879E-35,0.004134176834363005,2.280942886251346E-34,0.007492277789763115,-2.213881677461953E-34,0.012463222532298387,-2.2710616803904018E-33,0.01917821584927197,8.985901800386282E-33,0.02796866097968122,1.305308417073064E-32,0.03892404030102451,-7.800374090873775E-32,0.05213367765344107,2.9277875666019776E-31,0.06773712381373523,-1.3998466501606355E-30,0.08579428013094433,-5.424237947209115E-30,0.1063369621533547,1.8592439490384627E-29,0.12960762910611373,1.7248023332103137E-28,0.1553431384450623,-1.5641237504214443E-28,0.1833625750863097,1.4271457216280953E-27,0.21341509926792235,4.732553995038907E-27,0.2452307605479659,-1.28866458109191E-26,0.27863421697483165,1.8468890209887685E-26,0.3134208822323449,2.5414849507144462E-27,0.3490601252562723,-2.8495820719226197E-25,0.38518267143833124,2.5575845137363257E-25,0.4214977070153881,-9.352273881031977E-25,0.45756858899914254,1.6945973262375008E-24,0.4928953001274439,2.7004523483110764E-24,0.5272785147853666,1.4886807109624272E-24,0.5605487234382694,-7.153049423843721E-24,0.5925366017107662,8.650882780855292E-24,0.6226147646062306,2.1467350892569346E-23,0.6511161285206033,6.0949130831376445E-24,0.6780342741383765,-2.3580979117371387E-23,0.703293756093718,-3.7481554183881545E-23,0.7270945759452964,-4.2500048665469695E-23,0.7491251765162646
-2.272727272727273,-2.424242424242424,2.233068878174703E-48,9.731122002482599E-49,3.597475945789211E-43,9.948247948197741E-20,-1.313318564196955E-41,1.91106183230731E-12,-5.153248084253665E-40,8.910243809521138E-9,6.945723867796914E-39,8.176160765368212E-7,7.675429732763507E-38,1.2187053558725882E-5,-4.553135302366538E-37,8.238742569962848E-5,-7.678876179925836E-36,3.329068752112329E-4,-3.3149421619953797E-35,9.976344597288388E-4,-2.844781328781488E-36,0.0023532241445025012,1.2991159183071902E-33,0.004751589251564441,5.955308418553012E-33,0.00843220678929554,-3.8220065156143475E-33,0.013791264095231733,-5.418638953074523E-32,0.020945237467140897,2.253766142811494E-31,0.03021870098868606,2.9328058400807817E-31,0.04169007906090835,-2.050166889787681E-30,0.05544001579137142,5.334497012109564E-30,0.07160095682813652,-4.598611101325815E-29,0.09022610260559467,-1.95551120122483E-28,0.11134105375112627,6.813566877967787E-28,0.1351786879026057,6.3409892402172565E-27,0.16146167911095327,-9.448121595571856E-27,0.1899938508198295,5.40804682504159E-26,0.2205107154997968,1.6173925982626183E-25,0.2527302538198864,-4.483726674113563E-25,0.28646632633604346,6.377136956756348E-25,0.3215013046149873,2.256211223572104E-25,0.3573061000797211,-9.769515918338494E-24,0.39351140006758384,9.410964576955305E-24,0.42982091483220847,-3.2834941147014964E-23,0.46579622204872834,6.065290381361397E-23,0.5009484704966817,9.538053883124444E-23,0.5350994426565369,2.7146580095447586E-23,0.5680871688219734,-2.4920450803683306E-22,0.5997492731261258,3.132770102193508E-22,0.629472898129277,7.427229554512531E-22,0.6576102008475833,1.8929068724875918E-22,0.6841562226458394,-9.740640184940859E-22,0.7090341558460209,-1.3235404293884986E-21,0.7324512311642178,-1.3832224423437653E-21,0.7541150020285305
-2.121212121212121,-2.424242424242424,5.561962620865765E-47,2.441131404057502E-47,8.245332229931562E-42,7.402226019305969E-19,-2.809570231385743E-40,8.107083996216893E-12,-1.141248604060788E-38,2.4268326249799132E-8,1.4971674857341122E-37,1.7412243723343456E-6,1.5599920119985847E-36,2.2247465158826813E-5,-1.0230600002681705E-35,1.339645961698333E-4,-1.6903761012597276E-34,4.963695802029632E-4,-7.3513421496443195E-34,0.0013877857517321105,-9.233204553580816E-35,0.003107168330196501,2.957781716150644E-32,0.006018752084875608,1.4396027513172757E-31,0.010346893124679468,-5.5741388903080806E-33,0.01648189480381365,-1.3169713412479574E-30,0.0245116688931451,3.989827437041295E-30,0.03474803835720932,-2.4375022395934097E-31,0.04724825974087521,-6.563349087493762E-29,0.06207628242863102,-1.1134844104295406E-28,0.07935093726385935,-2.340779650889687E-27,0.09911268363711552,-1.192473370173903E-26,0.12137438693948709,3.891430274809371E-26,0.14634841712916785,3.7692679610097785E-25,0.17372692779769566,-8.051714204663409E-25,0.203282146691614,3.2547079015407536E-24,0.23472141218263934,8.703467217952895E-24,0.2677390248683841,-2.5235917153064665E-23,0.30212867776211355,3.4646455330353054E-23,0.3376453637477307,2.05668284238061E-23,0.37376276101865874,-5.145211658438333E-22,0.4101129966719148,5.514987916265603E-22,0.4463899433165773,-1.7990437737105574E-21,0.4821552664649499,3.457513426878297E-21,0.5169437780665939,5.245063645585198E-21,0.5506162751796666,-3.897734827186122E-22,0.5830264914834589,-1.344391944070081E-20,0.6140273380552935,1.8290642017608084E-20,0.6430406192807704,3.9829751471767583E-20,0.6704504744167947,7.991590540256215E-21,0.6962529287163438,-6.43228858927412E-20,0.7203674034812485,-7.413154236567095E-20,0.7430195351998777,-6.611073486953495E-20,0.7639583997655319
-1.9696969696969697,-2.424242424242424,1.2770502162060342E-45,5.6377259761175055E-46,1.602998511757484E-40,5.036834916595233E-18,-4.7711255115014733E-39,3.1941400099206603E-11,-2.069118102351073E-37,6.393862012113433E-8,2.5834823067340984E-36,3.6951214136339322E-6,2.4426400598175484E-35,4.1308576010449074E-5,-1.8909643678972749E-34,2.2479677896222776E-4,-3.0561782464343967E-33,7.707209336734956E-4,-1.3488549254704258E-32,0.002020801665049016,-1.6651140976728505E-33,0.0043027088818491524,5.834128421676576E-31,0.007995610591570196,3.1506562153575934E-30,0.013300157601547607,2.8751817321509994E-30,0.02059780383819426,-3.180570098242655E-29,0.029935899191937867,2.454298699544335E-29,0.041609406329262376,-3.553529169775916E-28,0.05564606653499951,-2.3387210790850953E-27,0.0720863096350038,-1.4141800942478808E-26,0.09103003362608211,-1.1094904215147879E-25,0.11250007832767961,-6.172021765429116E-25,0.13648893160201978,2.2201270134110366E-24,0.16317439273295406,2.1127949454153174E-23,0.1921973827471503,-4.8093560547108886E-23,0.22328038907057388,1.8370137511186094E-22,0.25608618280931067,4.44906216822925E-22,0.29027570844564865,-1.2627785813043264E-21,0.3256155793671522,1.7499155594348327E-21,0.3618155366886378,1.514583907974667E-21,0.3983538436135204,-2.4741084225082357E-20,0.4348690066771785,2.952592780368756E-20,0.4710430458833848,-8.832125917610441E-20,0.5064475818910888,1.7726939828013798E-19,0.5406538003220228,2.601614866842544E-19,0.5735737171151567,-9.687872435880226E-20,0.6050868352475637,-6.519687278696273E-19,0.6350733361819793,9.494498558329243E-19,0.663020246600879,1.9294539106412052E-18,0.6893410196183501,3.070531419379549E-19,0.7140297943128081,-3.526148660939985E-18,0.7369977635109796,-3.723399470648676E-18,0.7585105928479007,-2.8627580738959386E-18,0.7783856032496288
-1.8181818181818183,-2.424242424242424,2.5171307707105544E-44,1.1162569452743301E-44,2.3575843520067073E-39,3.1090286753314015E-17,-5.431233380724828E-38,1.1567805230736767E-10,-2.671053094148493E-36,1.589099938988967E-7,3.0623216097461704E-35,7.521270167306454E-6,2.510814617959681E-34,7.454876181002639E-5,-2.5029272042057966E-33,3.710311391920811E-4,-4.0029599133685936E-32,0.00118902559180896,-1.7824815848433735E-31,0.0029486944344527593,6.561043643514189E-32,0.006007978219842928,9.9089187995614E-30,0.010760251136542448,6.258071525078898E-29,0.01737332257579729,1.4221188763142935E-28,0.026217326120130783,-6.969845486245412E-28,0.03728991778575262,-1.1042847178240454E-27,0.050867763311737445,-1.707883122140632E-26,0.06694304581058788,-7.17539431057147E-26,0.08552732062580586,-6.485828076404394E-25,0.10669805578241279,-4.033386691149872E-24,0.13045676067532047,-2.4006186770475257E-23,0.1567650174502825,1.1358443586688884E-22,0.18574615496203006,1.0074893861137506E-21,0.21696276000677414,-2.0315722350258465E-21,0.2500674277994055,8.751822502661407E-21,0.28465900383252385,1.928234507062489E-20,0.32036102090391105,-4.84801206956634E-20,0.35690794734604986,7.302492050792776E-20,0.3939394566209322,8.853663857640141E-20,0.4309446496727262,-9.332378904643552E-19,0.46757891826914116,1.2538347825236568E-18,0.5035145827189762,-3.3433549231282302E-18,0.538355860478172,7.110257291767995E-18,0.5717176005301714,1.0078094669442855E-17,0.6035695380820726,-6.400730168935893E-18,0.6338308396814015,-2.4527037665208743E-17,0.6624292620854897,3.819919107430395E-17,0.6889584457632967,7.301721867940787E-17,0.7138315206080635,9.611380034887811E-18,0.7370387061350026,-1.434294237731695E-16,0.7584751594559467,-1.453482901850889E-16,0.7784902162840024,-9.512733754527884E-17,0.7969941793065239
-1.666666666666667,-2.424242424242424,3.2585300922309146E-43,1.4501068012801027E-43,1.481171341921044E-38,1.7286246016129865E-16,-1.0516481171920721E-37,3.837407451972594E-10,-1.0723367075327403E-35,3.709080119560901E-7,8.514219249288922E-35,1.4572849694049276E-5,3.8449735699794572E-34,1.2928782910962076E-4,-1.0753761844331673E-32,5.934996776476059E-4,-1.7806319396156648E-31,0.0017912366186514186,-5.3510890054947805E-31,0.00423110484342772,6.939174235143095E-30,0.0082977117361276,1.4083302942756044E-28,0.01439482420623116,1.0564802195541901E-27,0.022648498565763127,4.409073778494045E-27,0.033416477544009116,-6.522262480224197E-27,0.0466415364398225,-1.2035677198602252E-26,0.06258397982516933,-2.4504399537515553E-25,0.08119681807465633,-4.218756264157407E-25,0.10245886894864309,-1.1010630565554269E-23,0.12642418486099313,-6.443087080735745E-23,0.15306923323690977,-4.557813520998949E-22,0.18230839788510028,4.94518611117043E-21,0.2141806905878586,3.7197453078956135E-20,0.2481360509931839,-3.9647751905668344E-20,0.28373513026788355,3.203425810502077E-19,0.32048983187935776,6.423218203746925E-19,0.3579946499421298,-1.0023068479534393E-18,0.3959440532284103,2.2423667277338503E-18,0.4338728427800347,3.848253367283034E-18,0.47130039005585583,-2.1278139656101444E-17,0.507915681465167,3.436618267479574E-17,0.5433915261758262,-7.465784935077576E-17,0.5774020875310842,1.7704063410577572E-16,0.6095986191265059,2.422464218670405E-16,0.6400141791875029,-2.0413970667728644E-16,0.6686266456943876,-5.613777319424166E-16,0.6954495847170926,9.317273914450207E-16,0.7202222381223811,1.7022973017372456E-15,0.743292592457648,2.381506837954534E-16,0.7646548374366292,-3.3468595680479158E-15,0.7841745649086859,-3.4577099914559354E-15,0.8023676213674596,-1.8626655300293665E-15,0.819237840313803
-1.515151515151515,-2.424242424242424,-3.8257087127823446E-42,-1.698366885007533E-42,-5.000261717535168E-37,8.593626470438548E-16,1.0639831009029925E-35,1.162343157505327E-9,5.496944336058156E-34,8.111935627261952E-7,-6.096997047717024E-33,2.6816225398619686E-5,-4.6553245862480836E-32,2.147921096547291E-4,5.3919777902526055E-31,9.159079207009231E-4,9.168917944863583E-30,0.002619116705270816,6.311199027493938E-29,0.005925756882625148,3.274117673972436E-28,0.011239001070627232,1.183905933709895E-27,0.018967212221975022,8.212030183168572E-27,0.029187300432832176,9.19934253573922E-26,0.04224625575972861,6.456380698497115E-25,0.05803174851164784,3.617908768331367E-24,0.07679338863173948,2.5571197298848515E-23,0.09844338434083391,1.5999464021644356E-22,0.12292536728690195,8.8894516493983E-22,0.15027209372468728,4.754907716089078E-21,0.1804278820773886,2.460006799836309E-20,0.21323422421971658,1.717149159324758E-19,0.2486000934694947,8.092735256687397E-19,0.2858234677017383,2.2743440423835905E-18,0.3243484454086015,6.880324553900843E-18,0.36357487904544855,1.2570487906029626E-17,0.40309787508865397,2.871163946607471E-17,0.4425505637326159,3.6490029967184104E-17,0.48131948464987484,9.581896866226968E-17,0.5190010823875228,2.1026195870617642E-16,0.5553373032702877,4.5264129167413654E-17,0.5900280459373631,7.222966109051414E-16,0.6228607460744102,-6.446616497930633E-16,0.6534978191150632,-9.564247096942695E-16,0.6820490862671598,1.0039604558337786E-15,0.7085741896899893,3.596838942666282E-15,0.7332434204796273,-5.4162493611176145E-15,0.7559388660226453,-9.495494762237974E-15,0.7768550646049577,1.6358718273224376E-15,0.7960210003010658,2.7127061842279627E-14,0.8132508911679733,1.9830006454440785E-14,0.8293625463337546,1.628643139499831E-14,0.8443869110187747
-1.3636363636363635,-2.424242424242424,-5.29639981038272E-40,-2.3556298172793374E-40,-2.2612440401360186E-35,3.7906124603202245E-15,2.273219198032901E-34,3.204725746755329E-9,1.7724466764224967E-32,1.659054147212945E-6,-1.6082743442622E-31,4.68004090086569E-5,-1.0881723797611364E-30,3.4138490269270983E-4,1.9214092987700544E-29,0.0013613974334321698,3.7165053289931548E-28,0.003708640912306944,2.6682136350142532E-27,0.008075811173445163,1.0556213023502387E-26,0.014873649057798562,-2.911004183943908E-26,0.02450914241115618,-4.460912140457858E-25,0.037005799681370126,8.639511215118983E-25,0.05270577124854132,5.656574415897897E-23,0.07144706561417276,3.200350803317085E-22,0.09347780314252016,2.533422448856572E-21,0.11866862563700005,1.4502140984145083E-20,0.14692707767915142,9.807051209991687E-20,0.17826963958631645,5.288938964898717E-19,0.21259140882985095,3.1310898333013425E-18,0.24962230802043922,4.169701130866905E-18,0.2890724816082464,-8.914728923040005E-18,0.33005070915485063,2.7560269553847704E-16,0.371854319055068,-7.430248022396787E-17,0.4137515405010509,-8.257046427990583E-17,0.4553939670775937,3.734268310114776E-15,0.4963047263957908,-2.312279403635759E-16,0.5356818618873964,-1.2752663863781585E-15,0.573287368185724,4.507417822397563E-14,0.6089302096841286,-4.634387605181034E-14,0.6423927130230372,1.3897040524829068E-13,0.6735995637104665,-2.752005058198333E-13,0.7021998377993837,-3.7777318630430844E-13,0.7284056333998105,3.8027764209939115E-13,0.7523828094470676,9.560082301433998E-13,0.7745658583810792,-1.5224736638367123E-12,0.7948765250819912,-2.8140607929381946E-12,0.8132959528950335,-4.5264250048813557E-13,0.8299454214592333,5.330490824312012E-12,0.8445645995177687,5.755380420220086E-12,0.8584340001619897,2.932597198949557E-12,0.8714418512825505
-1.212121212121212,-2.424242424242424,-2.7903641036666224E-38,-1.2388659043620252E-38,-5.098251719417183E-34,1.471837427183927E-14,2.0655148699235775E-33,8.018560925995413E-9,3.0244208546482507E-31,3.1669759011924654E-6,-2.159890937610893E-30,7.736934104639674E-5,-1.0978860146454242E-29,5.185957819222171E-4,3.9077313424746165E-28,0.0019472854535747158,9.007452420658766E-27,0.005080020794007495,7.080440544828174E-26,0.010694731507710144,2.4830628006756644E-25,0.019198139322461893,-2.120268131242642E-24,0.030991901694696115,-2.7975443419139733E-23,0.046046610699195994,-1.5169863939563435E-23,0.0647113059812034,2.755849615055275E-21,0.0867854132701706,1.6261758795971407E-20,0.11252737780658455,1.3329972716277777E-19,0.14176466097802504,7.698680891991766E-19,0.17436981380445016,5.368169039660052E-18,0.2103483802847626,2.9454460825203925E-17,0.24950998167442945,1.8275286107794733E-16,0.29141820192570833,4.202331322827854E-17,0.3354875907075754,-1.548770044560489E-15,0.38061381652490917,1.4767081280257094E-14,0.42590610618606306,-1.3175401517649598E-14,0.4705047985660639,-1.2007153644517057E-14,0.5141896340840784,1.6885857990737582E-13,0.5562945192708403,2.062679097528529E-15,0.5958178281188613,-2.384596379389227E-13,0.6328138717568395,2.0883802889907384E-12,0.6671656956504873,-2.1179121904272042E-12,0.698824674483984,5.575760171080654E-12,0.7278340876764494,-1.0925867880067975E-11,0.7538479238775376,-1.6064247835837675E-11,0.7772065303259095,1.402304852440989E-11,0.7982105977952506,4.146305975568927E-11,0.8176448898236242,-5.500548236115796E-11,0.8352630121580963,-1.1652176658398163E-10,0.8508794913889941,-3.6306453443893496E-11,0.8647623508685998,1.7327430279595183E-10,0.876591044476634,2.3957199752809145E-10,0.8881605239075205,1.2724012709904725E-10,0.8990046720719741
-1.0606060606060606,-2.424242424242424,-1.1582137926950134E-36,-5.122874439476466E-37,-6.995409776944733E-33,4.990554345915502E-14,4.113760950403281E-33,1.8154871609225094E-8,3.382843807584533E-30,5.632218431947933E-6,-1.6292391903285018E-29,1.210152153559646E-4,8.040838756979611E-29,7.523082679234748E-4,5.932290724308526E-27,0.0026783412733903528,1.6256100208583656E-25,0.006726325181258201,1.3729184689368458E-24,0.013750219566768664,4.2310556315121935E-24,0.0241430932627806,-7.043360456539974E-23,0.03830140431960624,-8.685001821851286E-22,0.05614916569402524,-3.722493417975181E-22,0.0780608681907337,9.291663116395056E-20,0.10381275143616005,5.728213884076523E-19,0.133686184259477,4.794386193766611E-18,0.16746122078119222,2.8081131034322425E-17,0.20497835941202017,1.9243581259948588E-16,0.24623076267138613,1.0923937255968055E-15,0.2908791579940807,6.844882639128767E-15,0.3382464449863423,-1.1277700976750598E-15,0.38733238657450497,-5.74152752449232E-14,0.43681873022822065,4.771769346075429E-13,0.48557142115451046,-5.384324186846241E-13,0.5326554936621626,-5.374987064627758E-14,0.5780331244281876,3.90475448849482E-12,0.6207683111738989,2.3784117475630104E-12,0.6597118002283947,-9.974937590385726E-12,0.6953270968786656,5.056185971776308E-11,0.7275990473019603,-4.1586728790320514E-11,0.7567333145481402,1.0535674170571489E-10,0.7828612020557669,-1.5187219298894644E-10,0.8057252545126707,-2.9538560070914783E-10,0.8257929081493575,1.464431281657511E-10,0.8435349820590655,8.799202111221097E-10,0.8600057107996191,-5.635280417590889E-10,0.874639827526396,-2.0022604351955034E-9,0.8872552807463447,-1.1971518742125868E-9,0.8982532937060671,1.9058325808341295E-9,0.9073654795844766,4.494917829280942E-9,0.9166344823178408,3.4483263397186797E-9,0.9252092576222095
